Bit-3=0:Bit-8=0:Bit-4=0:Bit-7=0:Bit-6=0	12, 0
Bit-3=0:Bit-8=1:Bit-2=1:Bit-4=0:Bit-7=1	0, 11
Bit-3=0:Bit-8=1:Bit-2=1:Bit-4=1	0, 22
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=0:Bit-1=0:Bit-7=0:Bit-0=0	0, 1
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=0:Bit-1=0:Bit-7=0:Bit-0=1	1, 0
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=0:Bit-1=0:Bit-7=1	0, 7
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=0:Bit-1=1:Bit-5=0	4, 0
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=0:Bit-1=1:Bit-5=1:Bit-8=0	1, 0
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=0:Bit-1=1:Bit-5=1:Bit-8=1	0, 1
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=1:Bit-0=0	0, 9
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=1:Bit-0=1:Bit-7=0:Bit-1=0:Bit-5=0	1, 0
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=1:Bit-0=1:Bit-7=0:Bit-1=0:Bit-5=1	0, 1
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=1:Bit-0=1:Bit-7=0:Bit-1=1	0, 1
Bit-3=1:Bit-4=0:Bit-6=0:Bit-2=1:Bit-0=1:Bit-7=1	0, 4
Bit-3=1:Bit-4=0:Bit-6=1:Bit-7=0:Bit-9=0	0, 11
Bit-3=1:Bit-4=0:Bit-6=1:Bit-7=0:Bit-9=1:Bit-1=0:Bit-2=0	1, 0
Bit-3=1:Bit-4=0:Bit-6=1:Bit-7=0:Bit-9=1:Bit-1=0:Bit-2=1	0, 1
Bit-3=1:Bit-4=0:Bit-6=1:Bit-7=0:Bit-9=1:Bit-1=1	0, 3
Bit-3=1:Bit-4=0:Bit-6=1:Bit-7=1	0, 20
Bit-3=1:Bit-4=1:Bit-2=0:Bit-5=0:Bit-6=0:Bit-7=0:Bit-1=0	1, 0
Bit-3=1:Bit-4=1:Bit-2=0:Bit-5=0:Bit-6=0:Bit-7=0:Bit-1=1	0, 1
Bit-3=1:Bit-4=1:Bit-2=0:Bit-5=0:Bit-6=0:Bit-7=1	0, 4
Bit-3=1:Bit-4=1:Bit-2=0:Bit-5=0:Bit-6=1	0, 6
Bit-3=1:Bit-4=1:Bit-2=0:Bit-5=1	0, 21
Bit-3=1:Bit-4=1:Bit-2=1	0, 45
